#Results for query "config from cloud.resource where cloud.accountgroup = 'cloud_governance_team_qa' AND api.name = 'aws-lambda-list-functions' " executed for time range from: Sep 28, 2021 14.55 MDT America/Denver, to: Sep 29, 2021 14.55 MDT America/Denver and executed by michelle.griffith1@maxar.com
Resource Name,Service,Account,Region,Last Modified
SC-384124098735-pp-ysan5t-DefaultVpcDeletionFuncti-X1IUeqqxB5Fg,AWS Lambda,governance-qa-inventory,AWS Virginia,"Sep 29, 2021 14.22 MDT America/Denver"
SC-463814673255-pp-e3juew-DefaultVpcDeletionFuncti-vzBdfgtiAvFN,AWS Lambda,governance-qa-logging,AWS Virginia,"Sep 27, 2021 15.37 MDT America/Denver"
DeleteDefaultNetworkingFunction,AWS Lambda,governance-qa-tools,AWS Virginia,"Sep 24, 2021 08.58 MDT America/Denver"
ADLoggingAPIFunction-qa,AWS Lambda,governance-qa-inventory,AWS Virginia,"Sep 21, 2021 08.51 MDT America/Denver"
SC-384124098735-pp-hovmy4ivptluw-WarmerFunction-SWQ45LNETFIA,AWS Lambda,governance-qa-inventory,AWS Virginia,"Sep 21, 2021 08.51 MDT America/Denver"
SC-384124098735-pp-ff2cogu3ktxso-WarmerFunction-1IBVK5SMOX2PK,AWS Lambda,governance-qa-inventory,AWS Virginia,"Sep 21, 2021 06.31 MDT America/Denver"
ADLoggingAPIFunction-dev,AWS Lambda,governance-qa-inventory,AWS Virginia,"Sep 21, 2021 06.31 MDT America/Denver"
test-avm-query-function,AWS Lambda,governance-qa-sandbox,AWS Virginia,"Sep 20, 2021 17.45 MDT America/Denver"
test-avm-execution-function,AWS Lambda,governance-qa-sandbox,AWS Virginia,"Sep 20, 2021 17.45 MDT America/Denver"
SC-357940840310-pp-pd2lzhlqvy-ProductsUsageScraper-PeHcvqXVfBJE,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Sep 17, 2021 09.56 MDT America/Denver"
SC-264426855184-pp-j42zoa-ProductsUsageScraperDBSe-ccxJmNuucGjK,AWS Lambda,governance-qa-tools,AWS Virginia,"Sep 17, 2021 08.36 MDT America/Denver"
SC-264426855184-pp-j42zoat5-ProductsUsageScraperDB-cLOf3If9J9o1,AWS Lambda,governance-qa-tools,AWS Virginia,"Sep 17, 2021 08.36 MDT America/Denver"
IamAccessAnalyzerPipeline-TableReporterFunction,AWS Lambda,governance-qa-tools,AWS Virginia,"Sep 15, 2021 17.19 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS Virginia,"Sep 15, 2021 17.19 MDT America/Denver"
IamAccessAnalyzerPipeline-AuroraDatabaseSetupFunction,AWS Lambda,governance-qa-tools,AWS Virginia,"Sep 15, 2021 17.19 MDT America/Denver"
IamAccessAnalyzerPipeline-TableUpdaterFunction,AWS Lambda,governance-qa-tools,AWS Virginia,"Sep 15, 2021 17.19 MDT America/Denver"
TestReporterFunction,AWS Lambda,governance-qa-tools,AWS Virginia,"Sep 13, 2021 14.25 MDT America/Denver"
AWSATAuthorizerLambda-dev,AWS Lambda,governance-qa-inventory,AWS Virginia,"Sep 07, 2021 11.39 MDT America/Denver"
AWSATPostbuildTweaks-dev,AWS Lambda,governance-qa-inventory,AWS Virginia,"Sep 07, 2021 11.39 MDT America/Denver"
AWSATLoggingHandler-dev,AWS Lambda,governance-qa-inventory,AWS Virginia,"Sep 07, 2021 11.39 MDT America/Denver"
