#Results for query "config from cloud.resource where cloud.accountgroup = 'cloud_governance_team_qa' AND api.name = 'aws-iam-list-groups'" executed for time range from: Sep 28, 2021 13.58 MDT America/Denver, to: Sep 29, 2021 13.58 MDT America/Denver and executed by michelle.griffith1@maxar.com
Resource Name,Service,Account,Region,Last Modified
Admins,AWS IAM,governance-qa-decipher,,"Apr 27, 2021 12.06 MDT America/Denver"
MFAGroup,AWS IAM,governance-qa-decipher,,"Apr 27, 2021 12.06 MDT America/Denver"
Admins,AWS IAM,governance-qa-logging-govcloud,,"Apr 26, 2021 10.53 MDT America/Denver"
MFAGroup,AWS IAM,governance-qa-logging-govcloud,,"Apr 26, 2021 10.53 MDT America/Denver"
MFAGroup,AWS IAM,mxr-governance-qa-master,,"Apr 22, 2021 17.39 MDT America/Denver"
MFAGroup,AWS IAM,mxr-governance-qa-sectools,,"Apr 22, 2021 17.13 MDT America/Denver"
Admins,AWS IAM,mxr-governance-qa-master,,"Apr 15, 2021 16.59 MDT America/Denver"
Admins,AWS IAM,mxr-governance-qa-sectools,,"Mar 16, 2021 17.09 MDT America/Denver"
MFAGroup,AWS IAM,governance-qa-sectools-govcloud,,"Feb 17, 2021 14.51 MST America/Denver"
Admins,AWS IAM,governance-qa-sectools-govcloud,,"Feb 17, 2021 14.51 MST America/Denver"
MFAGroup,AWS IAM,governance-qa-sandbox,,"Dec 16, 2020 15.07 MST America/Denver"
Admins,AWS IAM,governance-qa-sandbox,,"Dec 16, 2020 15.07 MST America/Denver"
MFAGroup,AWS IAM,governance-qa-logging,,"Dec 16, 2020 14.41 MST America/Denver"
Admins,AWS IAM,governance-qa-logging,,"Dec 16, 2020 14.41 MST America/Denver"
MFAGroup,AWS IAM,governance-qa-inventory,,"Dec 08, 2020 14.58 MST America/Denver"
Admins,AWS IAM,governance-qa-inventory,,"Dec 08, 2020 14.58 MST America/Denver"
MFAGroup,AWS IAM,Governance-QA-ServiceCatalog,,"Dec 08, 2020 13.22 MST America/Denver"
Admins,AWS IAM,Governance-QA-ServiceCatalog,,"Dec 08, 2020 13.22 MST America/Denver"
MFAGroup,AWS IAM,governance-qa-tools,,"Dec 08, 2020 13.13 MST America/Denver"
Admins,AWS IAM,governance-qa-tools,,"Dec 08, 2020 13.13 MST America/Denver"
