#Results for query "config from cloud.resource where cloud.accountgroup = 'cloud_governance_team_qa' AND api.name = 'aws-iam-saml-provider'" executed for time range from: Sep 28, 2021 14.44 MDT America/Denver, to: Sep 29, 2021 14.44 MDT America/Denver and executed by michelle.griffith1@maxar.com
Resource Name,Service,Account,Region,Last Modified
cure,AWS IAM,governance-qa-decipher,,"May 27, 2021 04.23 MDT America/Denver"
Okta,AWS IAM,governance-qa-decipher,,"Apr 27, 2021 12.26 MDT America/Denver"
Okta,AWS IAM,governance-qa-logging-govcloud,,"Apr 26, 2021 11.12 MDT America/Denver"
Okta,AWS IAM,mxr-governance-qa-master,,"Apr 15, 2021 16.59 MDT America/Denver"
Okta,AWS IAM,mxr-governance-qa-sectools,,"Mar 16, 2021 17.09 MDT America/Denver"
Okta,AWS IAM,governance-qa-sectools-govcloud,,"Jan 11, 2021 10.01 MST America/Denver"
Okta,AWS IAM,governance-qa-sandbox,,"Dec 16, 2020 14.26 MST America/Denver"
Okta,AWS IAM,governance-qa-logging,,"Dec 16, 2020 14.11 MST America/Denver"
Okta,AWS IAM,governance-qa-inventory,,"Dec 08, 2020 14.44 MST America/Denver"
Okta,AWS IAM,governance-qa-tools,,"Dec 08, 2020 13.25 MST America/Denver"
Okta,AWS IAM,Governance-QA-ServiceCatalog,,"Dec 07, 2020 15.32 MST America/Denver"
