#Results for query "config from cloud.resource where cloud.accountgroup= 'cloud_governance_team_qa' and api.name= 'aws-lambda-list-functions' AND json.rule = ((tags[*].key != Project) or (tags[*].key != Component) or (tags[*].key != Environment) or (tags[*].key != Department) or (tags[*].key != Contact))" executed for time range from: Dec 28, 2021 15.02 MST America/Denver, to: Dec 29, 2021 15.02 MST America/Denver and executed by michelle.griffith1@maxar.com
Resource Name,Service,Account,Region,Last Modified,Deleted
AWSATAuthorizerLambda-dev,AWS Lambda,governance-qa-inventory,AWS Virginia,"Dec 20, 2021 23.38 MST America/Denver",false
SC-357940840310-pp-pd2lzhlqvy-ProductsUsageScraper-PeHcvqXVfBJE,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Dec 10, 2021 14.16 MST America/Denver",false
AWSATAuthorizerLambda-qa,AWS Lambda,governance-qa-inventory,AWS Virginia,"Nov 16, 2021 17.46 MST America/Denver",false
SC-357940840310-pp-pd2lzh-ProductsUsageScraperInvo-qXf2QuNmuBy2,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Nov 12, 2021 10.19 MST America/Denver",false
SC-384124098735-pp-hovmy4ivptluw-WarmerFunction-SWQ45LNETFIA,AWS Lambda,governance-qa-inventory,AWS Virginia,"Nov 12, 2021 08.56 MST America/Denver",false
ADLoggingAPIFunction-qa,AWS Lambda,governance-qa-inventory,AWS Virginia,"Nov 12, 2021 08.56 MST America/Denver",false
ADLoggingAPIFunction-dev,AWS Lambda,governance-qa-inventory,AWS Virginia,"Nov 03, 2021 11.18 MDT America/Denver",false
SC-384124098735-pp-ff2cogu3ktxso-WarmerFunction-1IBVK5SMOX2PK,AWS Lambda,governance-qa-inventory,AWS Virginia,"Nov 03, 2021 11.18 MDT America/Denver",false
mxr-governance-config-rules-provisioner,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Oct 19, 2021 10.44 MDT America/Denver",false
RDK-Rule-Function-iam-user-tags-validator,AWS Lambda,governance-qa-tools,AWS Virginia,"Oct 19, 2021 10.25 MDT America/Denver",false
AWSATPostbuildTweaks-dev,AWS Lambda,governance-qa-inventory,AWS Virginia,"Sep 07, 2021 11.39 MDT America/Denver",false
AWSATLoggingHandler-dev,AWS Lambda,governance-qa-inventory,AWS Virginia,"Sep 07, 2021 11.39 MDT America/Denver",false
AWSATLoggingCrudFunction-dev,AWS Lambda,governance-qa-inventory,AWS Virginia,"Sep 07, 2021 11.39 MDT America/Denver",false
SC-384124098735-pp-4zb4z4-CureInventoryExportFunct-FA9T1HFhu8mD,AWS Lambda,governance-qa-inventory,AWS Virginia,"Aug 24, 2021 14.08 MDT America/Denver",false
AWSATPostbuildTweaks-qa,AWS Lambda,governance-qa-inventory,AWS Virginia,"Aug 24, 2021 12.34 MDT America/Denver",false
SC-384124098735-pp-5jngf5evg-InventoryToS3Function-D4EIHwXvWXRt,AWS Lambda,governance-qa-inventory,AWS Virginia,"Aug 23, 2021 15.10 MDT America/Denver",false
AggregatorProvisionerQA1-AggregatorProvisioner-ZMDSr5TQUdkC,AWS Lambda,governance-qa-sandbox,AWS Virginia,"Jul 27, 2021 11.47 MDT America/Denver",false
SC-384124098735-pp-kzbkvv-CureAccessManagementFunc-3FtSMVdEF4Co,AWS Lambda,governance-qa-inventory,AWS Virginia,"Jun 25, 2021 16.07 MDT America/Denver",false
AWSATLoggingHandler-qa,AWS Lambda,governance-qa-inventory,AWS Virginia,"Jun 23, 2021 09.01 MDT America/Denver",false
AWSATLoggingCrudFunction-qa,AWS Lambda,governance-qa-inventory,AWS Virginia,"Jun 23, 2021 09.01 MDT America/Denver",false
send_decipher_file,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 16.27 MDT America/Denver",false
populate_allocation_datastore,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
create_bu_report,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
custom_rule_executor,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
combine_allocation_processor,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
content_hub_allocation_processor,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
check_for_invoices,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
gbdx_allocation_processor,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
combine_custom_rules,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
finalize_default_allocations,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
process_default_allocations,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
prepare_allocation_run,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
get_custom_rules,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
process_edp_and_support,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
rule_verifier,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
custom_allocation_processor,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver",false
SC-357940840310-pp-4ot5hd7ck7gqc-AuditorFunction-3NrmL62QV5rV,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"May 11, 2021 12.23 MDT America/Denver",false
SC-463814673255-pp-vnlfu7klakyvi-IAMUpdater-D62oW4AIyiE8,AWS Lambda,governance-qa-logging,AWS Virginia,"May 11, 2021 12.04 MDT America/Denver",false
SC-463814673255-pp-vnlfu7klakyvi-SGUpdater-aoI0uUyQ731p,AWS Lambda,governance-qa-logging,AWS Virginia,"May 11, 2021 12.04 MDT America/Denver",false
send_decipher_error,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 06, 2021 17.12 MDT America/Denver",false
cur_data_replication,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 06, 2021 16.37 MDT America/Denver",false
final_to_excel,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 06, 2021 10.58 MDT America/Denver",false
launch_invoice_sf,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 06, 2021 10.58 MDT America/Denver",false
default_allocations,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 06, 2021 10.58 MDT America/Denver",false
DeleteDefaultNetworking,AWS Lambda,governance-qa-decipher,AWS Virginia,"Apr 27, 2021 12.22 MDT America/Denver",false
DeleteDefaultNetworking,AWS Lambda,governance-qa-logging-govcloud,AWS Virginia,"Apr 26, 2021 11.07 MDT America/Denver",false
custodian-s3-tag-compliance,AWS Lambda,mxr-governance-qa-sectools,AWS Virginia,"Apr 05, 2021 12.10 MDT America/Denver",false
custodian-ec2-tag-compliance,AWS Lambda,mxr-governance-qa-sectools,AWS Virginia,"Apr 05, 2021 12.10 MDT America/Denver",false
DeleteDefaultNetworking,AWS Lambda,mxr-governance-qa-sectools,AWS Virginia,"Mar 16, 2021 16.59 MDT America/Denver",false
SC-357940840310-pp-eorvcjxud2fuu-AuditorFunction-W4MGC6TADNMP,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Mar 16, 2021 14.06 MDT America/Denver",false
factory-initialization-stack-StartInstallLambda-RW42WPLBNEY4,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Mar 16, 2021 13.36 MDT America/Denver",false
DeleteDefaultNetworking,AWS Lambda,governance-qa-sectools-govcloud,AWS Virginia,"Feb 17, 2021 14.51 MST America/Denver",false
SC-903175335064-pp-2ije4zcsdz6c4-SGUpdater-R3QAR61G352F,AWS Lambda,governance-qa-sandbox,AWS Virginia,"Feb 15, 2021 22.33 MST America/Denver",false
SC-903175335064-pp-2ije4zcsdz6c4-IAMUpdater-I0N7G21B88K,AWS Lambda,governance-qa-sandbox,AWS Virginia,"Feb 15, 2021 22.33 MST America/Denver",false
SC-903175335064-pp-2ije4zcsdz6c4-S3Updater-DJK5ZVPY4O3O,AWS Lambda,governance-qa-sandbox,AWS Virginia,"Feb 15, 2021 22.33 MST America/Denver",false
puppet-initialization-stack-StartInstallLambda-1G80HFDMBAYQC,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Feb 15, 2021 22.24 MST America/Denver",false
